screen_id,route,access_method,allowed_roles,input_data,view_model,data_source,ui_states,actions,target_screens,evidence
SCR-13,sync_history,Menu Settings -> Lịch sử đồng bộ,All,"None",SyncHistoryViewModel,"SyncLogDao","[Loading, Empty, LogListReady]","[Filter Logs By Type, Clear Logs, View Log Detail, Back]","popBackStack","SyncHistoryScreen.kt:25-180; MainActivity.kt:536-539"
SCR-14,settings_api_config,Menu Settings -> Cấu hình API,All,"None",SettingsViewModel,"SettingsManager (EncryptedSharedPreferences)","[InitialValues, Editing, TestingConnection, SavedSuccess, Error]","[Input Supabase URL, Input Supabase Anon Key, Input Gemini API Key, Select Gemini Model, Test Connect, Save, Back]","popBackStack","ApiConfigScreen.kt:25-240; MainActivity.kt:541-546"
SCR-15,settings_icon_sorting,Menu Settings -> Sắp xếp icon chi tiết,All,"None",SettingsViewModel,"SettingsManager","[ListLoaded, DraggingReorder]","[Drag and Drop Icon Items, Reset Default Order, Save Order, Back]","popBackStack","IconSortingScreen.kt:25-150; MainActivity.kt:549-554"
DLG-01,modal_duplicate_check,Shortcut CHECK_DUPLICATE hoặc Toolbar Button,All,"initialQuery (string)",DuplicateCheckViewModel,"PropertyRepository","[Inputting, Searching, FoundMatches, NoMatches]","[Input Address/Phone, Search, View Match Detail, Add At Coordinate, Dismiss]","property_detail/{id}, unverified_detail/{id}, property_add","DuplicateCheckDialog.kt:35-280"
DLG-02,sheet_property_filter,Nút Lọc trên TopBar PropertyList/UnverifiedList,All,"currentFilterState, baselineFilter",PropertyListViewModel / UnverifiedViewModel,"PropertyRepository","[Expanded, Collapsed, ValuesSelected]","[Select Price Range, Select Size Range, Select Direction, Select Area, Select Status, Reset, Apply, Dismiss]","None","PropertyFilterBottomSheet.kt:35-320"
DLG-03,modal_area_selector,Click 'Chọn khu vực' trong FilterBottomSheet,All,"distinctAreas, recentAreas",PropertyListViewModel,"PropertyRepository","[SearchActive, ListPopulated]","[Search Area, Select Area Tag, Clear All, Confirm, Dismiss]","None","AreaSelectorDialog.kt:25-160"
DLG-04,modal_phone_action,Click số điện thoại chủ nhà hoặc khách hàng,All,"phoneNumber",None,Android Telephony Intent / Zalo App Intent,"[Visible]","[Call Direct, Send SMS, Open Zalo Chat, Copy Phone Number, Dismiss]","External Intents","PhoneActionDialog.kt:25-140"
DLG-05,modal_property_share,Nút Chia sẻ trên PropertyDetailTopBar,All,"property",PropertyDetailViewModel,Android Share Intent,"[Visible, GeneratingText]","[Share Public Info, Share Broker Internal Info, Copy Text, Share Via App, Dismiss]","External Share Intent","PropertyShareDialog.kt:25-190"
DLG-06,modal_transfer_owner,Nút 'Chuyển thông tin chủ nhà' trên Detail,All,"property",PropertyDetailViewModel,"CustomerRepository","[SelectingCustomer, CreatingNewOwner]","[Select Existing Customer, Input New Owner Info, Confirm Transfer, Dismiss]","None","PropertyTransferOwnerDialog.kt:25-150"
DLG-07,modal_edit_listing,Nút 'Sửa tin thô' trên PropertyDetail,All,"rawListingText",PropertyDetailViewModel,"PropertyRepository","[Editing]","[Update Raw Text, Save, Dismiss]","None","PropertyEditListingDialog.kt:25-90"
DLG-08,modal_export_photos,Nút 'Xuất ảnh' trên PropertyDetailTopBar,All,"property, mediaFiles",PropertyDetailViewModel,"FileProvider, External Storage","[Exporting, Success, Error]","[Select Photos, Export To Gallery / Zip / Share, Dismiss]","External Intent / File System","PropertyExportPhotosDialog.kt:25-160"
DLG-09,modal_delete_confirm,Nút Xóa BĐS trên Card hoặc DetailTopBar,All,"propertyId, propertyTitle",PropertyListViewModel / PropertyDetailViewModel,"PropertyRepository","[ConfirmDialogVisible]","[Confirm Soft Delete, Cancel]","popBackStack","PropertyDetailDialogs.kt:20-80"
DLG-10,sheet_customer_matches,Nút 'Khách phù hợp' trên PropertyDetail,All,"property",PropertyDetailViewModel,"CustomerRepository, MatchEngineUseCase","[Matching, MatchesFound, EmptyMatches]","[View Matched Customer, Call Customer, Link Customer As Viewed, Dismiss]","customer_list/{customerId}","CustomerMatchesBottomSheet.kt:35-240"
DLG-11,modal_add_viewing,Nút 'Thêm lịch dẫn khách' trên PropertyDetail,All,"propertyId",PropertyDetailViewModel,"CustomerRepository, PropertyRepository","[FormInput]","[Select Customer, Pick Date/Time, Input Note, Save Viewing, Dismiss]","None","AddViewingDialog.kt:25-180"
DLG-12,modal_add_diary,Nút 'Thêm nhật ký BĐS' trên PropertyDetail,All,"propertyId",PropertyDetailViewModel,"PropertyRepository","[FormInput]","[Input Diary Content, Save, Dismiss]","None","PropertyDetailScreen.kt:938-970"
DLG-13,modal_all_diary,Click 'Xem toàn bộ nhật ký' trên PropertyDetail,All,"propertyId, diaryList",PropertyDetailViewModel,"PropertyRepository","[ListPopulated]","[View Diary History, Close]","None","PropertyDetailScreen.kt:990-1100"
DLG-14,modal_compass,Nút La bàn cạnh trường hướng nhà trên Detail/Form,All,"currentDirection",None,Android Sensor Manager (Compass),"[Calibrating, DirectionLocked]","[Rotate Device, Read Degree/Direction, Lock Direction, Dismiss]","None","CompassDialog.kt:25-180"
DLG-15,modal_image_viewer,Click vào thumbnail ảnh BĐS,All,"imageList, initialIndex",None,Local Storage / Image Cache,"[Viewing, Zooming, Panning]","[Swipe Next/Prev, Pinch Zoom, Close]","None","FullScreenImageViewer.kt:25-140"
DLG-16,modal_add_edit_customer,Nút Thêm khách / Sửa khách hàng,All,"customer (optional)",CustomerViewModel,"CustomerRepository","[FormEditing, Saving, ValidationErrors]","[Input Name, Input Phone, Input Demands, Pick Avatar, Save, Cancel]","None","AddEditCustomerDialog.kt:47-880"
DLG-17,modal_avatar_picker,Click vào Avatar trên Customer Form/Detail,All,"None",CustomerViewModel,"Camera Intent, Gallery Picker","[PickerVisible]","[Take Photo Camera, Choose From Gallery, Remove Avatar, Dismiss]","External Camera / Gallery","AvatarPickerDialog.kt:28-110"
DLG-18,modal_delete_customer,Nút Xóa khách hàng trên CustomerDetail,All,"customerId, customerName",CustomerViewModel,"CustomerRepository","[ConfirmDialogVisible]","[Confirm Soft Delete, Cancel]","popBackStack","CustomerDetailViewScreen.kt:178-210"
DLG-19,modal_quick_note,Nút 'Ghi chú nhanh' trên CustomerDetail,All,"customerId, existingNote",CustomerViewModel,"CustomerRepository","[Editing]","[Input Quick Note, Save, Dismiss]","None","CustomerDetailViewScreen.kt:547-575"
DLG-20,modal_property_chooser,Nút 'Liên kết BĐS đã xem/sở hữu' trên CustomerDetail,All,"customerId, linkType",CustomerViewModel,"PropertyRepository, CustomerRepository","[SearchActive, ListPopulated]","[Search Property, Select Property, Save Link, Dismiss]","None","CustomerDetailViewScreen.kt:1431-1520"
DLG-21,modal_regex_config,Menu Cài đặt -> Cấu hình Regex bóc tách,All,"currentRegexPatterns",SettingsViewModel,"SettingsManager","[Editing, Testing]","[Add Pattern, Edit Pattern, Test Pattern, Save Patterns, Dismiss]","None","RegexConfigDialog.kt:21-140"
DLG-22,modal_default_filter,Menu Cài đặt -> Chế độ lọc mặc định,All,"currentFilterMode",SettingsViewModel,"SettingsManager","[SelectionList]","[Select 'Nhớ lần trước', Select 'Cố định', Select 'Tất cả', Confirm, Dismiss]","None","SettingsScreen.kt:260-398"
DLG-23,modal_map_zoom,Menu Cài đặt -> Mức zoom bản đồ mặc định,All,"currentZoomLevel",SettingsViewModel,"SettingsManager","[Slider/RadioList]","[Select Zoom Level 14..18, Confirm, Dismiss]","None","SettingsScreen.kt:402-448"
DLG-24,modal_map_radius,Menu Cài đặt -> Bán kính quét khảo sát,All,"currentRadius",SettingsViewModel,"SettingsManager","[RadioList]","[Select 500m / 1km / 2km / 5km, Confirm, Dismiss]","None","SettingsScreen.kt:452-498"
DLG-25,modal_time_picker,Menu Cài đặt -> Giờ tự động đồng bộ hàng ngày,All,"currentSyncTime",SettingsViewModel,"SyncScheduler, SettingsManager","[TimePickerView]","[Pick Hour, Pick Minute, Confirm Schedule, Dismiss]","None","SettingsScreen.kt:628-660"
DLG-26,modal_unverified_import,Nút 'Nhập tin thô' trên UnverifiedScreen,All,"None",UnverifiedViewModel,"GeminiHelper, SettingsManager","[Inputting, Extracting]","[Paste Raw Text, Run Gemini AI / Regex Extract, Confirm Import, Dismiss]","None","UnverifiedScreen.kt:710-780"
DLG-27,modal_no_api_key,Xuất hiện khi chạy trích xuất mà thiếu Gemini API Key,All,"None",UnverifiedViewModel,"SettingsManager","[AlertVisible]","[Navigate to ApiConfigScreen, Dismiss]","settings_api_config","UnverifiedScreen.kt:700-740"
